880,142,0;880,201,0;880,260,0;
880,140,0;880,199,0;880,258,0;
879,139,45;880,197,0;880,256,0;
878,138,45;880,197,0;880,256,0;
877,137,45;880,195,0;880,254,0;
876,136,45;880,195,0;880,254,0;
875,135,45;880,193,0;880,252,0;
874,134,45;880,193,0;880,252,0;
873,133,45;880,191,0;880,250,0;
872,132,45;880,191,0;880,250,0;
871,131,45;880,189,0;880,248,0;
870,130,45;880,189,0;880,248,0;
869,129,45;880,187,0;880,246,0;
868,128,45;880,185,0;880,244,0;
867,127,45;880,185,0;880,244,0;
866,126,45;880,183,0;880,242,0;
865,125,45;880,183,0;880,242,0;
864,124,45;880,181,0;880,240,0;
863,123,45;880,179,0;880,238,0;
862,122,45;880,179,0;880,238,0;
861,121,45;880,177,0;880,236,0;
860,120,45;880,175,0;880,234,0;
858,120,90;880,175,0;880,234,0;
856,120,90;880,173,0;880,232,0;
854,120,90;880,173,0;880,232,0;
852,120,90;880,173,0;880,232,0;
850,120,90;880,171,0;880,230,0;
848,120,90;880,169,0;880,228,0;
846,120,90;880,169,0;880,228,0;
844,120,90;880,167,0;880,226,0;
842,120,90;880,165,0;880,224,0;
840,120,90;880,163,0;880,222,0;
838,120,90;880,161,0;880,220,0;
836,120,90;880,159,0;880,218,0;
834,120,90;880,157,0;880,216,0;
832,120,90;880,155,0;880,214,0;
830,120,90;880,153,0;880,212,0;
828,120,90;880,151,0;880,210,0;
826,120,90;880,149,0;880,208,0;
824,120,90;880,147,0;880,206,0;
822,120,90;880,145,0;880,204,0;
820,120,90;880,143,0;880,202,0;
818,120,90;880,141,0;880,200,0;
816,120,90;879,139,45;880,198,0;
814,120,90;878,138,45;880,196,0;
812,120,90;877,137,45;880,196,0;
810,120,90;876,136,45;880,194,0;
808,120,90;875,135,45;880,194,0;
806,120,90;874,134,45;880,192,0;
804,120,90;873,133,45;880,192,0;
802,120,90;872,132,45;880,190,0;
800,120,90;871,131,45;880,190,0;
798,120,90;870,130,45;880,188,0;
